Model,Train Acc,Train Recall,Train F1,Train AUC,Test Acc,Test Recall,Test F1,Test AUC
SVM,0.8820224719101124,0.8820224719101124,0.8772417076005481,0.917084609582678,0.8,0.8,0.7931538791822177,0.7097516801955136
RandomForest,0.947565543071161,0.947565543071161,0.9446699801719205,0.9515469981695595,0.788235294117647,0.788235294117647,0.7847066428381307,0.6933861394780484
DecisionTree,0.947565543071161,0.947565543071161,0.9446699801719205,0.9593483539832777,0.8,0.8,0.7936968656075569,0.661298769311338
