Model,Train Acc,Train Sen,Train F1,Train Spe,Train AUC,Test Acc,Test Sen,Test F1,Test Spe,Test AUC
SVM,0.8836206896551724,0.8572727272727273,0.8824126050669756,0.928021978021978,0.9794216894216894,0.8902439024390244,0.8386243386243386,0.8866592756836659,0.9208683473389355,0.9498651312376802
RandomForest,1.0,1.0,1.0,1.0,1.0,0.9512195121951219,0.9223985890652558,0.9507596288084094,0.9593837535014006,0.9681372549019608
DecisionTree,0.9267241379310345,0.9322222222222222,0.9269951228170756,0.9598534798534799,0.9920725108225108,0.8780487804878049,0.8500881834215167,0.8790077265903178,0.92296918767507,0.9356520385932151
Advanced_LightGBM,0.9913793103448276,0.9908080808080809,0.991378879267237,0.9948351648351649,0.9998004773004773,0.9146341463414634,0.9038800705467372,0.9152865440997304,0.9446778711484595,0.9611085174810666
Advanced_CatBoost,0.9913793103448276,0.9866666666666667,0.9913237527315827,0.9933333333333333,0.9998989898989898,0.926829268292683,0.892416225749559,0.9261394432126138,0.942577030812325,0.9571143272123663
Advanced_PrototypicalNet,0.9439655172413793,0.9464646464646465,0.9443339721167205,0.9686813186813187,0.9911421911421913,0.9024390243902439,0.8624338624338623,0.9023878560463926,0.9257703081232492,0.9606286959228137
